Amount (INR),Payment Mode,To/Received By,Sender A/C,Receiver A/C,Sender Location,Receiver Location,Transaction Date,Transaction Time,isFraud
1275.67,Cash Deposit,SBI,ACC123456,ACC636097,"Delhi, Delhi, 110001","Mumbai, Maharashtra, 400001",6/1/2025,21:33,1
1369.3,Unknown,Medical Store,ACC123456,ACC918279,"Hyderabad, Telangana, 500001","Lucknow, Uttar Pradesh, 226001",9/5/2023,9:16,0
336.54,UPI,Paytm Wallet,ACC123456,ACC490257,"Ahmedabad, Gujarat, 380001","Delhi, Delhi, 110001",1/4/2023,4:01,0
218.07,Unknown,Paytm Wallet,ACC123456,ACC439932,"Mumbai, Maharashtra, 400001","
",5/7/2024,6:11,0
2653.46,Cash Deposit,Reliance Fresh,ACC123456,ACC656686,"Chennai, Tamil Nadu, 600001","Kolkata, West Bengal, 700001",7/24/2023,20:25,1
1422.19,IMPS,Zomato,ACC123456,ACC551132,"Jaipur, Rajasthan, 302001","Chennai, Tamil Nadu, 600001",10/1/2024,6:56,0
1198.42,NEFT,Jio,ACC123456,ACC112406,"Pune, Maharashtra, 411001","Delhi, Delhi, 110001",12/8/2023,15:14,0
2665.03,IMPS,Ola,ACC123456,ACC807129,"Hyderabad, Telangana, 500001","Hyderabad, Telangana, 500001",8/25/2023,13:55,0
2950.71,Wallet,Reliance Fresh,ACC123456,ACC314334,"Lucknow, Uttar Pradesh, 226001","Chennai, Tamil Nadu, 600001",1/5/2025,4:14,1
396.11,Card,SBI,ACC123456,ACC517268,"Chennai, Tamil Nadu, 600001","
",8/24/2024,13:07,0
1934.37,Unknown,Zomato,ACC123456,ACC928957,"Delhi, Delhi, 110001","Pune, Maharashtra, 411001",8/31/2023,19:07,0
340.87,Cash Deposit,PhonePe,ACC123456,ACC398418,"Ahmedabad, Gujarat, 380001","Mumbai, Maharashtra, 400001",7/8/2024,5:42,1
2833.62,Unknown,Ola,ACC123456,ACC230027,"Pune, Maharashtra, 411001","Ahmedabad, Gujarat, 380001",12/5/2023,3:05,0
2189.79,Card,Zomato,ACC123456,ACC729229,"Jaipur, Rajasthan, 302001","Pune, Maharashtra, 411001",1/1/2024,14:35,0
6325.27,NEFT,School Fees,ACC123456,ACC555310,"Chennai, Tamil Nadu, 600001","Bengaluru, Karnataka, 560001",6/26/2023,5:14,0
192.9,Unknown,Big Bazaar,ACC123456,ACC141991,"Pune, Maharashtra, 411001","Bengaluru, Karnataka, 560001",5/16/2023,9:29,0
167.49,Wallet,Electricity Board,ACC123456,ACC798722,"Delhi, Delhi, 110001","Bengaluru, Karnataka, 560001",1/11/2024,20:48,1
713.09,Cash Deposit,Reliance Fresh,ACC123456,ACC159771,"Delhi, Delhi, 110001","Hyderabad, Telangana, 500001",4/30/2024,12:00,0
656.83,NEFT,Paytm Wallet,ACC123456,ACC849865,"Jaipur, Rajasthan, 302001","Lucknow, Uttar Pradesh, 226001",3/28/2023,5:13,1
617.32,Wallet,School Fees,ACC123456,ACC207689,"Bengaluru, Karnataka, 560001","Mumbai, Maharashtra, 400001",12/31/2024,16:45,1
4784.34,Unknown,Rent Transfer,ACC123456,ACC441465,"Ahmedabad, Gujarat, 380001","Hyderabad, Telangana, 500001",4/28/2025,19:34,0
624.15,Card,Airtel,ACC123456,ACC554698,"Hyderabad, Telangana, 500001","Chennai, Tamil Nadu, 600001",10/13/2023,10:16,0
684.77,Unknown,Ola,ACC123456,ACC412458,"Chennai, Tamil Nadu, 600001","Ahmedabad, Gujarat, 380001",3/2/2025,17:29,0
2899.22,UPI,Zomato,ACC123456,ACC654232,"Bengaluru, Karnataka, 560001","
",8/24/2023,23:44,0
1244.73,UPI,School Fees,ACC123456,ACC241289,"Hyderabad, Telangana, 500001","Hyderabad, Telangana, 500001",2/24/2023,16:11,0
3048.57,Card,Amazon India,ACC123456,ACC216776,"Lucknow, Uttar Pradesh, 226001","Kolkata, West Bengal, 700001",7/10/2024,2:15,0
185.2,NEFT,Jio,ACC123456,ACC152639,"Chennai, Tamil Nadu, 600001","Pune, Maharashtra, 411001",7/16/2024,4:52,0
1387.19,Wallet,Flipkart,ACC123456,ACC137578,"Pune, Maharashtra, 411001","Jaipur, Rajasthan, 302001",4/2/2023,16:09,1
118.38,NEFT,Reliance Fresh,ACC123456,ACC904006,"Mumbai, Maharashtra, 400001","Chennai, Tamil Nadu, 600001",6/18/2023,21:17,0
179.4,Cash Deposit,Ola,ACC123456,ACC225830,"Kolkata, West Bengal, 700001","
",3/4/2025,21:44,0
4788.25,UPI,Ola,ACC123456,ACC484327,"Bengaluru, Karnataka, 560001","Jaipur, Rajasthan, 302001",8/22/2024,2:05,1
349.89,Wallet,School Fees,ACC123456,ACC410078,"Lucknow, Uttar Pradesh, 226001","Jaipur, Rajasthan, 302001",1/16/2024,1:50,0
1570.37,IMPS,Ola,ACC123456,ACC193208,"Mumbai, Maharashtra, 400001","Ahmedabad, Gujarat, 380001",11/19/2024,3:50,0
1108.98,Unknown,Swiggy,ACC123456,ACC649766,"Bengaluru, Karnataka, 560001","Lucknow, Uttar Pradesh, 226001",7/12/2024,4:38,0
903.41,IMPS,Flipkart,ACC123456,ACC622039,"Lucknow, Uttar Pradesh, 226001","Lucknow, Uttar Pradesh, 226001",6/4/2023,5:52,0
4651.84,IMPS,PhonePe,ACC123456,ACC350238,"Jaipur, Rajasthan, 302001","Chennai, Tamil Nadu, 600001",2/11/2023,16:27,0
94.13,NEFT,PhonePe,ACC123456,ACC623438,"Chennai, Tamil Nadu, 600001","Bengaluru, Karnataka, 560001",1/22/2024,11:40,0
2230.04,Cash Deposit,Rent Transfer,ACC123456,ACC710819,"Bengaluru, Karnataka, 560001","Ahmedabad, Gujarat, 380001",1/22/2024,18:07,0
6665.11,Card,HDFC Bank,ACC123456,ACC988191,"Mumbai, Maharashtra, 400001","Jaipur, Rajasthan, 302001",2/20/2023,11:19,0
1692.73,UPI,Zomato,ACC123456,ACC583012,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",1/1/2025,1:40,0
5573.61,Wallet,IRCTC,ACC123456,ACC202878,"Hyderabad, Telangana, 500001","Kolkata, West Bengal, 700001",7/25/2024,14:39,0
157.35,NEFT,PhonePe,ACC123456,ACC828427,"Delhi, Delhi, 110001","
",10/2/2023,1:59,0
1135.3,Wallet,HDFC Bank,ACC123456,ACC509339,"Lucknow, Uttar Pradesh, 226001","
",9/25/2023,20:46,1
652.64,UPI,Big Bazaar,ACC123456,ACC933800,"Pune, Maharashtra, 411001","Delhi, Delhi, 110001",7/18/2023,12:45,0
2674.76,IMPS,Local Kirana,ACC123456,ACC303272,"Pune, Maharashtra, 411001","Hyderabad, Telangana, 500001",11/20/2024,2:09,0
8008.15,IMPS,Swiggy,ACC123456,ACC767697,"Hyderabad, Telangana, 500001","Jaipur, Rajasthan, 302001",11/16/2024,21:46,0
642.85,Cash Deposit,Big Bazaar,ACC123456,ACC687387,"Jaipur, Rajasthan, 302001","Hyderabad, Telangana, 500001",1/13/2024,23:46,0
2173.64,Wallet,IRCTC,ACC123456,ACC849265,"Chennai, Tamil Nadu, 600001","Lucknow, Uttar Pradesh, 226001",4/18/2024,1:52,0
491.54,Unknown,Medical Store,ACC123456,ACC540821,"Mumbai, Maharashtra, 400001","Mumbai, Maharashtra, 400001",6/6/2025,1:11,0
1716.34,Card,SBI,ACC123456,ACC866588,"Bengaluru, Karnataka, 560001","Mumbai, Maharashtra, 400001",7/16/2023,23:01,0
1296.99,Wallet,Medical Store,ACC123456,ACC791202,"Chennai, Tamil Nadu, 600001","Mumbai, Maharashtra, 400001",6/9/2024,18:52,0
7201.48,NEFT,Electricity Board,ACC123456,ACC961027,"Pune, Maharashtra, 411001","Delhi, Delhi, 110001",12/15/2024,16:33,0
1925.68,Cash Deposit,Jio,ACC123456,ACC297512,"Hyderabad, Telangana, 500001","
",11/20/2024,22:21,1
910.05,Unknown,LIC Insurance,ACC123456,ACC689227,"Pune, Maharashtra, 411001","Bengaluru, Karnataka, 560001",8/2/2023,11:12,1
292.28999999999996,Cash Deposit,Zomato,ACC123456,ACC581983,"Delhi, Delhi, 110001","Ahmedabad, Gujarat, 380001",1/15/2025,7:51,0
377.97,NEFT,Local Kirana,ACC123456,ACC288088,"Hyderabad, Telangana, 500001","Chennai, Tamil Nadu, 600001",6/22/2024,14:46,1
560.6,NEFT,Paytm Wallet,ACC123456,ACC914695,"Pune, Maharashtra, 411001","Bengaluru, Karnataka, 560001",8/30/2024,2:40,0
627.94,Wallet,IRCTC,ACC123456,ACC705957,"Mumbai, Maharashtra, 400001","Bengaluru, Karnataka, 560001",2/10/2023,13:54,0
3852.47,NEFT,Local Kirana,ACC123456,ACC809270,"Mumbai, Maharashtra, 400001","Ahmedabad, Gujarat, 380001",4/8/2023,14:32,1
1697.53,UPI,Paytm Wallet,ACC123456,ACC422445,"Bengaluru, Karnataka, 560001","Bengaluru, Karnataka, 560001",4/20/2025,0:51,0
1532.12,NEFT,Jio,ACC123456,ACC516257,"Lucknow, Uttar Pradesh, 226001","Hyderabad, Telangana, 500001",5/7/2025,19:33,1
293.81,Card,Medical Store,ACC123456,ACC466554,"Ahmedabad, Gujarat, 380001","Mumbai, Maharashtra, 400001",1/16/2025,9:52,0
3984.22,NEFT,Reliance Fresh,ACC123456,ACC256742,"Hyderabad, Telangana, 500001","Jaipur, Rajasthan, 302001",8/7/2023,12:23,0
2616.14,Cash Deposit,Amazon India,ACC123456,ACC336270,"Chennai, Tamil Nadu, 600001","Kolkata, West Bengal, 700001",3/14/2023,3:55,0
190.13,UPI,Zomato,ACC123456,ACC831999,"Lucknow, Uttar Pradesh, 226001","Mumbai, Maharashtra, 400001",8/20/2023,7:25,0
2510.87,Cash Deposit,Ola,ACC123456,ACC130304,"Jaipur, Rajasthan, 302001","Bengaluru, Karnataka, 560001",6/24/2023,23:10,0
1618.5,IMPS,PhonePe,ACC123456,ACC654557,"Pune, Maharashtra, 411001","Chennai, Tamil Nadu, 600001",10/9/2023,10:21,0
220.52,NEFT,HDFC Bank,ACC123456,ACC710344,"Chennai, Tamil Nadu, 600001","Hyderabad, Telangana, 500001",6/16/2024,17:26,0
1276.09,NEFT,SBI,ACC123456,ACC199151,"Mumbai, Maharashtra, 400001","Bengaluru, Karnataka, 560001",5/19/2024,12:27,0
1376.0,UPI,LIC Insurance,ACC123456,ACC411464,"Bengaluru, Karnataka, 560001","Ahmedabad, Gujarat, 380001",3/10/2025,0:02,0
412.5,UPI,LIC Insurance,ACC123456,ACC367961,"Jaipur, Rajasthan, 302001","Ahmedabad, Gujarat, 380001",9/14/2024,2:52,0
5876.39,NEFT,Medical Store,ACC123456,ACC578657,"Ahmedabad, Gujarat, 380001","Lucknow, Uttar Pradesh, 226001",11/25/2023,23:13,0
3843.91,Card,IRCTC,ACC123456,ACC632869,"Mumbai, Maharashtra, 400001","
",4/17/2025,13:32,1
2261.41,Wallet,Zomato,ACC123456,ACC533071,"Ahmedabad, Gujarat, 380001","Ahmedabad, Gujarat, 380001",2/20/2025,17:41,0
1290.89,IMPS,IRCTC,ACC123456,ACC833891,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",9/5/2023,9:57,0
1111.26,UPI,Rent Transfer,ACC123456,ACC165076,"Pune, Maharashtra, 411001","Pune, Maharashtra, 411001",11/2/2023,7:30,0
2155.21,IMPS,Rent Transfer,ACC123456,ACC722945,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",8/28/2023,20:23,0
1626.81,NEFT,LIC Insurance,ACC123456,ACC740364,"Mumbai, Maharashtra, 400001","Chennai, Tamil Nadu, 600001",12/8/2024,22:01,0
178.59,NEFT,Rent Transfer,ACC123456,ACC740391,"Hyderabad, Telangana, 500001","Lucknow, Uttar Pradesh, 226001",4/2/2025,9:18,0
1486.94,NEFT,Airtel,ACC123456,ACC507332,"Bengaluru, Karnataka, 560001","Ahmedabad, Gujarat, 380001",2/13/2025,19:45,0
3333.96,Unknown,Reliance Fresh,ACC123456,ACC758097,"Chennai, Tamil Nadu, 600001","Delhi, Delhi, 110001",10/19/2024,19:48,0
1279.56,Unknown,Airtel,ACC123456,ACC708488,"Chennai, Tamil Nadu, 600001","Hyderabad, Telangana, 500001",7/2/2024,11:37,0
156.70999999999998,IMPS,Electricity Board,ACC123456,ACC679138,"Hyderabad, Telangana, 500001","Lucknow, Uttar Pradesh, 226001",10/29/2023,0:49,0
3136.16,Cash Deposit,Zomato,ACC123456,ACC386197,"Pune, Maharashtra, 411001","Lucknow, Uttar Pradesh, 226001",7/9/2023,7:18,0
499.7,UPI,Reliance Fresh,ACC123456,ACC232320,"Lucknow, Uttar Pradesh, 226001","
",2/22/2024,19:44,0
648.49,IMPS,Flipkart,ACC123456,ACC953730,"Delhi, Delhi, 110001","Chennai, Tamil Nadu, 600001",2/21/2025,13:57,1
409.94,Wallet,Big Bazaar,ACC123456,ACC793628,"Lucknow, Uttar Pradesh, 226001","Bengaluru, Karnataka, 560001",6/16/2024,19:14,1
851.6,Unknown,PhonePe,ACC123456,ACC722367,"Pune, Maharashtra, 411001","Delhi, Delhi, 110001",5/22/2023,21:57,0
2877.34,NEFT,Swiggy,ACC123456,ACC715498,"Jaipur, Rajasthan, 302001","Jaipur, Rajasthan, 302001",5/1/2023,4:57,0
1515.38,IMPS,Reliance Fresh,ACC123456,ACC745465,"Lucknow, Uttar Pradesh, 226001","Hyderabad, Telangana, 500001",2/20/2024,18:48,0
508.53,Unknown,Amazon India,ACC123456,ACC754227,"Chennai, Tamil Nadu, 600001","Lucknow, Uttar Pradesh, 226001",3/13/2025,17:24,0
4254.68,Cash Deposit,Reliance Fresh,ACC123456,ACC490166,"Pune, Maharashtra, 411001","
",7/29/2024,15:51,0
4283.57,Unknown,Amazon India,ACC123456,ACC436243,"Lucknow, Uttar Pradesh, 226001","Pune, Maharashtra, 411001",8/8/2024,10:59,0
4139.360000000001,Cash Deposit,IRCTC,ACC123456,ACC901552,"Lucknow, Uttar Pradesh, 226001","Hyderabad, Telangana, 500001",9/4/2023,18:50,0
595.71,UPI,Rent Transfer,ACC123456,ACC234717,"Kolkata, West Bengal, 700001","
",5/2/2025,5:30,0
1250.19,NEFT,Ola,ACC123456,ACC191159,"Jaipur, Rajasthan, 302001","Ahmedabad, Gujarat, 380001",3/6/2023,1:07,0
8448.03,UPI,Medical Store,ACC123456,ACC739643,"Delhi, Delhi, 110001","Jaipur, Rajasthan, 302001",7/17/2023,19:21,0
3006.93,UPI,Ola,ACC123456,ACC206735,"Jaipur, Rajasthan, 302001","Delhi, Delhi, 110001",2/27/2023,19:41,0
105.09,Cash Deposit,PhonePe,ACC123456,ACC618163,"Mumbai, Maharashtra, 400001","
",4/9/2024,13:49,0
184.86,Unknown,Rent Transfer,ACC123456,ACC894156,"Hyderabad, Telangana, 500001","Chennai, Tamil Nadu, 600001",10/19/2024,13:40,1
1296.99,Unknown,SBI,ACC123456,ACC324047,"Chennai, Tamil Nadu, 600001","Mumbai, Maharashtra, 400001",1/18/2023,15:28,1
4848.64,Cash Deposit,Medical Store,ACC123456,ACC527292,"Ahmedabad, Gujarat, 380001","Hyderabad, Telangana, 500001",1/13/2025,12:48,0
1597.42,Unknown,Amazon India,ACC123456,ACC715498,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",3/28/2025,2:47,0
1427.56,Unknown,Flipkart,ACC123456,ACC676843,"Bengaluru, Karnataka, 560001","Kolkata, West Bengal, 700001",12/17/2024,19:04,0
272.91999999999996,Cash Deposit,Ola,ACC123456,ACC207876,"Lucknow, Uttar Pradesh, 226001","Mumbai, Maharashtra, 400001",3/10/2023,6:12,0
2188.77,Card,Local Kirana,ACC123456,ACC350238,"Mumbai, Maharashtra, 400001","Hyderabad, Telangana, 500001",7/27/2023,11:58,0
3503.1,NEFT,Airtel,ACC123456,ACC811046,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",5/19/2025,5:43,0
1007.43,IMPS,Big Bazaar,ACC123456,ACC192704,"Delhi, Delhi, 110001","Bengaluru, Karnataka, 560001",2/7/2025,13:15,1
3038.76,Unknown,Jio,ACC123456,ACC921383,"Ahmedabad, Gujarat, 380001","Delhi, Delhi, 110001",8/10/2024,11:24,0
6725.13,Card,Airtel,ACC123456,ACC665730,"Lucknow, Uttar Pradesh, 226001","Mumbai, Maharashtra, 400001",11/11/2023,8:37,1
505.73,Card,Zomato,ACC123456,ACC676843,"Bengaluru, Karnataka, 560001","Ahmedabad, Gujarat, 380001",10/29/2023,16:02,1
1531.86,NEFT,Reliance Fresh,ACC123456,ACC578767,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",4/7/2024,6:43,0
726.93,NEFT,Medical Store,ACC123456,ACC623721,"Delhi, Delhi, 110001","Hyderabad, Telangana, 500001",4/19/2024,23:50,0
3198.67,IMPS,Big Bazaar,ACC123456,ACC739643,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",10/16/2024,2:56,0
1773.57,UPI,Zomato,ACC123456,ACC176675,"Pune, Maharashtra, 411001","Mumbai, Maharashtra, 400001",6/15/2024,13:10,0
2063.4300000000003,Cash Deposit,Flipkart,ACC123456,ACC853313,"Jaipur, Rajasthan, 302001","Bengaluru, Karnataka, 560001",6/14/2025,17:15,0
3248.13,UPI,Rent Transfer,ACC123456,ACC866588,"Mumbai, Maharashtra, 400001","Ahmedabad, Gujarat, 380001",1/30/2023,10:14,0
1058.26,Wallet,Ola,ACC123456,ACC344148,"Hyderabad, Telangana, 500001","Delhi, Delhi, 110001",1/6/2025,20:27,0
4982.33,NEFT,Airtel,ACC123456,ACC814726,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",5/31/2025,15:15,0
1572.98,IMPS,Amazon India,ACC123456,ACC915811,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",7/7/2024,4:05,0
393.84,Card,Big Bazaar,ACC123456,ACC361315,"Mumbai, Maharashtra, 400001","Pune, Maharashtra, 411001",11/21/2024,5:05,0
2430.79,Unknown,SBI,ACC123456,ACC482038,"Mumbai, Maharashtra, 400001","Delhi, Delhi, 110001",4/3/2024,3:43,0
3202.6,IMPS,Amazon India,ACC123456,ACC533933,"Bengaluru, Karnataka, 560001","Lucknow, Uttar Pradesh, 226001",8/7/2024,4:20,0
811.82,Wallet,PhonePe,ACC123456,ACC870575,"Hyderabad, Telangana, 500001","Delhi, Delhi, 110001",3/2/2025,21:17,0
3942.33,IMPS,PhonePe,ACC123456,ACC978082,"Lucknow, Uttar Pradesh, 226001","
",6/12/2023,4:57,0
4781.97,UPI,Jio,ACC123456,ACC861300,"Pune, Maharashtra, 411001","Jaipur, Rajasthan, 302001",5/11/2025,17:27,0
698.43,IMPS,HDFC Bank,ACC123456,ACC246109,"Bengaluru, Karnataka, 560001","Mumbai, Maharashtra, 400001",9/12/2024,10:54,0
8261.39,IMPS,Paytm Wallet,ACC123456,ACC837854,"Delhi, Delhi, 110001","Mumbai, Maharashtra, 400001",12/22/2023,14:40,0
353.3,Wallet,LIC Insurance,ACC123456,ACC861479,"Mumbai, Maharashtra, 400001","Hyderabad, Telangana, 500001",8/29/2023,17:25,0
501.33,Wallet,IRCTC,ACC123456,ACC201621,"Hyderabad, Telangana, 500001","Chennai, Tamil Nadu, 600001",10/9/2023,12:49,0
457.23,IMPS,Local Kirana,ACC123456,ACC402052,"Hyderabad, Telangana, 500001","Delhi, Delhi, 110001",5/19/2024,12:34,1
4538.44,IMPS,Zomato,ACC123456,ACC408346,"Ahmedabad, Gujarat, 380001","Hyderabad, Telangana, 500001",5/7/2025,4:20,1
2174.32,Card,Flipkart,ACC123456,ACC518555,"Lucknow, Uttar Pradesh, 226001","Pune, Maharashtra, 411001",11/28/2024,16:00,0
380.0,Card,Electricity Board,ACC123456,ACC358582,"Chennai, Tamil Nadu, 600001","
",11/10/2024,11:48,0
1210.79,Wallet,PhonePe,ACC123456,ACC918473,"Ahmedabad, Gujarat, 380001","Kolkata, West Bengal, 700001",2/9/2023,0:43,0
1960.57,Cash Deposit,Paytm Wallet,ACC123456,ACC520424,"Mumbai, Maharashtra, 400001","Pune, Maharashtra, 411001",10/2/2023,8:11,1
224.31,Wallet,Airtel,ACC123456,ACC900683,"Bengaluru, Karnataka, 560001","Pune, Maharashtra, 411001",4/26/2025,19:18,0
4331.21,Card,Amazon India,ACC123456,ACC722452,"Jaipur, Rajasthan, 302001","Bengaluru, Karnataka, 560001",6/6/2025,6:34,0
3305.24,IMPS,School Fees,ACC123456,ACC705957,"Bengaluru, Karnataka, 560001","Mumbai, Maharashtra, 400001",3/23/2023,21:43,0
1457.23,Card,Paytm Wallet,ACC123456,ACC615391,"Ahmedabad, Gujarat, 380001","Hyderabad, Telangana, 500001",12/18/2023,12:10,0
6880.18,Card,Medical Store,ACC123456,ACC987086,"Pune, Maharashtra, 411001","Pune, Maharashtra, 411001",6/26/2024,19:50,0
1131.75,NEFT,Electricity Board,ACC123456,ACC326890,"Jaipur, Rajasthan, 302001","Pune, Maharashtra, 411001",1/10/2024,0:41,0
8334.17,Cash Deposit,Medical Store,ACC123456,ACC357404,"Hyderabad, Telangana, 500001","Pune, Maharashtra, 411001",2/13/2025,15:49,0
2254.76,UPI,HDFC Bank,ACC123456,ACC366415,"Pune, Maharashtra, 411001","Mumbai, Maharashtra, 400001",10/5/2024,19:07,0
2063.92,IMPS,Zomato,ACC123456,ACC310026,"Delhi, Delhi, 110001","Chennai, Tamil Nadu, 600001",9/5/2024,15:10,0
412.94,IMPS,Jio,ACC123456,ACC400655,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",5/8/2025,11:13,1
4322.92,NEFT,Jio,ACC123456,ACC440760,"Delhi, Delhi, 110001","Pune, Maharashtra, 411001",4/27/2025,10:12,0
1165.45,Unknown,Big Bazaar,ACC123456,ACC607879,"Pune, Maharashtra, 411001","Ahmedabad, Gujarat, 380001",5/2/2024,23:54,1
404.03,NEFT,Electricity Board,ACC123456,ACC223871,"Mumbai, Maharashtra, 400001","
",1/17/2023,19:17,0
75.38,Card,School Fees,ACC123456,ACC235594,"Delhi, Delhi, 110001","
",3/5/2025,11:11,0
1690.85,IMPS,Rent Transfer,ACC123456,ACC888566,"Hyderabad, Telangana, 500001","Delhi, Delhi, 110001",4/29/2024,17:03,0
1549.01,UPI,Amazon India,ACC123456,ACC283510,"Chennai, Tamil Nadu, 600001","Pune, Maharashtra, 411001",5/13/2023,7:54,0
2591.32,IMPS,SBI,ACC123456,ACC339442,"Bengaluru, Karnataka, 560001","Pune, Maharashtra, 411001",7/24/2024,13:26,0
4469.25,Cash Deposit,Zomato,ACC123456,ACC590858,"Ahmedabad, Gujarat, 380001","Delhi, Delhi, 110001",3/28/2024,8:19,1
215.47,Card,Flipkart,ACC123456,ACC140114,"Mumbai, Maharashtra, 400001","Jaipur, Rajasthan, 302001",10/14/2023,17:40,0
2679.78,IMPS,Reliance Fresh,ACC123456,ACC654232,"Mumbai, Maharashtra, 400001","Kolkata, West Bengal, 700001",10/22/2023,5:32,0
465.06,IMPS,School Fees,ACC123456,ACC419183,"Jaipur, Rajasthan, 302001","Pune, Maharashtra, 411001",1/27/2023,4:59,1
3956.35,NEFT,LIC Insurance,ACC123456,ACC239786,"Chennai, Tamil Nadu, 600001","Pune, Maharashtra, 411001",10/16/2024,7:37,0
3469.22,Card,Local Kirana,ACC123456,ACC310031,"Delhi, Delhi, 110001","Pune, Maharashtra, 411001",6/8/2025,10:04,0
1606.51,Cash Deposit,Jio,ACC123456,ACC518946,"Lucknow, Uttar Pradesh, 226001","Bengaluru, Karnataka, 560001",10/10/2024,20:27,0
2527.42,Card,School Fees,ACC123456,ACC669494,"Chennai, Tamil Nadu, 600001","Delhi, Delhi, 110001",6/21/2024,19:24,0
804.78,IMPS,Flipkart,ACC123456,ACC919168,"Pune, Maharashtra, 411001","Ahmedabad, Gujarat, 380001",4/4/2024,20:50,0
1324.17,Cash Deposit,Reliance Fresh,ACC123456,ACC107709,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",1/11/2024,16:47,0
3497.87,Cash Deposit,Swiggy,ACC123456,ACC180294,"Lucknow, Uttar Pradesh, 226001","Bengaluru, Karnataka, 560001",4/4/2025,5:45,0
1279.65,UPI,School Fees,ACC123456,ACC264317,"Delhi, Delhi, 110001","Hyderabad, Telangana, 500001",7/24/2023,19:09,0
935.71,Unknown,Ola,ACC123456,ACC529721,"Delhi, Delhi, 110001","
",1/22/2024,23:00,0
1413.28,IMPS,Electricity Board,ACC123456,ACC845271,"Ahmedabad, Gujarat, 380001","Hyderabad, Telangana, 500001",7/28/2023,22:35,0
3573.42,NEFT,Paytm Wallet,ACC123456,ACC179633,"Ahmedabad, Gujarat, 380001","Ahmedabad, Gujarat, 380001",6/15/2024,22:05,0
866.56,Card,Big Bazaar,ACC123456,ACC931118,"Ahmedabad, Gujarat, 380001","Pune, Maharashtra, 411001",9/24/2023,23:23,0
431.74,Cash Deposit,Flipkart,ACC123456,ACC662179,"Bengaluru, Karnataka, 560001","Kolkata, West Bengal, 700001",2/3/2023,10:09,0
2539.69,IMPS,Airtel,ACC123456,ACC786810,"Lucknow, Uttar Pradesh, 226001","Bengaluru, Karnataka, 560001",1/17/2025,3:25,0
3547.15,UPI,Big Bazaar,ACC123456,ACC444153,"Ahmedabad, Gujarat, 380001","Hyderabad, Telangana, 500001",3/6/2023,14:43,1
262.14,Wallet,IRCTC,ACC123456,ACC727291,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",7/6/2023,5:09,0
598.54,IMPS,PhonePe,ACC123456,ACC577577,"Jaipur, Rajasthan, 302001","Hyderabad, Telangana, 500001",4/14/2023,23:27,0
356.24,Unknown,Zomato,ACC123456,ACC524022,"Chennai, Tamil Nadu, 600001","Bengaluru, Karnataka, 560001",7/20/2024,17:09,0
905.24,Card,Jio,ACC123456,ACC317421,"Pune, Maharashtra, 411001","Kolkata, West Bengal, 700001",5/26/2025,17:13,0
1246.95,Cash Deposit,HDFC Bank,ACC123456,ACC833919,"Ahmedabad, Gujarat, 380001","Jaipur, Rajasthan, 302001",4/19/2024,23:47,0
2813.22,Card,Big Bazaar,ACC123456,ACC949721,"Pune, Maharashtra, 411001","
",8/7/2024,10:16,0
2156.21,IMPS,Flipkart,ACC123456,ACC505435,"Ahmedabad, Gujarat, 380001","Kolkata, West Bengal, 700001",4/24/2025,18:28,0
1990.06,IMPS,Big Bazaar,ACC123456,ACC711208,"Bengaluru, Karnataka, 560001","
",12/6/2023,7:42,1
918.89,Wallet,Rent Transfer,ACC123456,ACC756876,"Delhi, Delhi, 110001","Bengaluru, Karnataka, 560001",5/17/2024,22:57,0
3733.34,Card,Zomato,ACC123456,ACC190484,"Bengaluru, Karnataka, 560001","
",4/11/2025,21:48,0
1324.62,Card,SBI,ACC123456,ACC380232,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",7/12/2023,5:02,0
7786.48,Cash Deposit,Paytm Wallet,ACC123456,ACC914695,"Ahmedabad, Gujarat, 380001","Delhi, Delhi, 110001",5/30/2024,16:55,0
2061.02,Cash Deposit,IRCTC,ACC123456,ACC555310,"Lucknow, Uttar Pradesh, 226001","Pune, Maharashtra, 411001",7/9/2023,7:40,0
319.96,NEFT,LIC Insurance,ACC123456,ACC905656,"Chennai, Tamil Nadu, 600001","Mumbai, Maharashtra, 400001",8/30/2023,12:41,0
2305.12,IMPS,Zomato,ACC123456,ACC822300,"Ahmedabad, Gujarat, 380001","Lucknow, Uttar Pradesh, 226001",12/22/2023,5:13,1
836.39,IMPS,Local Kirana,ACC123456,ACC677047,"Bengaluru, Karnataka, 560001","Jaipur, Rajasthan, 302001",8/14/2024,5:49,0
